,minX,maxX,minY,maxY,accident,signals,cameras,SPEED,Average Speed Count,VOLUME,Average Volume Count,Signs
0,50.842822,50.8797823,-114.315796,-114.2702069,0,0,0,0.0,0,0.0,0,0
1,50.842822,50.8797823,-114.2702069,-114.2246178,0,0,0,0.0,0,0.0,0,0
2,50.842822,50.8797823,-114.2246178,-114.1790287,0,0,0,0.0,0,0.0,0,0
3,50.842822,50.8797823,-114.1790287,-114.1334396,0,0,0,0.0,0,0.0,0,0
4,50.842822,50.8797823,-114.1334396,-114.0878505,0,0,0,0.0,0,0.0,0,54
5,50.842822,50.8797823,-114.0878505,-114.0422614,7,1,1,60.0,11,10000.0,7,303
6,50.842822,50.8797823,-114.0422614,-113.9966723,17,5,1,73.33333333333333,15,9500.0,14,1487
7,50.842822,50.8797823,-113.9966723,-113.9510832,13,7,0,80.0,4,16000.0,8,756
8,50.842822,50.8797823,-113.9510832,-113.9054941,0,0,0,0.0,0,0.0,0,27
9,50.842822,50.8797823,-113.9054941,-113.859905,0,0,0,0.0,0,0.0,0,5
10,50.8797823,50.916742600000006,-114.315796,-114.2702069,0,0,0,0.0,0,0.0,0,0
11,50.8797823,50.916742600000006,-114.2702069,-114.2246178,0,0,0,0.0,0,0.0,0,0
12,50.8797823,50.916742600000006,-114.2246178,-114.1790287,1,0,0,0.0,0,7000.0,2,93
13,50.8797823,50.916742600000006,-114.1790287,-114.1334396,6,0,0,75.0,2,18000.0,1,241
14,50.8797823,50.916742600000006,-114.1334396,-114.0878505,50,16,0,60.0,1,8787.878787878788,33,2409
15,50.8797823,50.916742600000006,-114.0878505,-114.0422614,111,33,3,59.666666666666664,30,17442.30769230769,52,3905
16,50.8797823,50.916742600000006,-114.0422614,-113.9966723,27,6,1,59.54545454545455,22,18222.222222222223,9,1489
17,50.8797823,50.916742600000006,-113.9966723,-113.9510832,104,17,2,64.44444444444444,45,21264.70588235294,34,3479
18,50.8797823,50.916742600000006,-113.9510832,-113.9054941,35,10,1,72.0,30,16210.526315789473,19,2428
19,50.8797823,50.916742600000006,-113.9054941,-113.859905,2,0,0,84.0,5,0.0,0,70
20,50.9167426,50.9537029,-114.315796,-114.2702069,0,0,0,0.0,0,0.0,0,0
21,50.9167426,50.9537029,-114.2702069,-114.2246178,0,0,0,0.0,0,0.0,0,0
22,50.9167426,50.9537029,-114.2246178,-114.1790287,0,0,0,0.0,0,0.0,0,2
23,50.9167426,50.9537029,-114.1790287,-114.1334396,9,0,0,59.0,10,16750.0,4,417
24,50.9167426,50.9537029,-114.1334396,-114.0878505,46,13,0,58.23529411764706,17,15421.052631578947,19,2700
25,50.9167426,50.9537029,-114.0878505,-114.0422614,154,34,5,49.2,25,21911.764705882353,34,3442
26,50.9167426,50.9537029,-114.0422614,-113.9966723,96,18,0,59.04761904761905,21,28047.619047619046,21,2693
27,50.9167426,50.9537029,-113.9966723,-113.9510832,93,27,5,65.38461538461539,26,20000.0,41,2372
28,50.9167426,50.9537029,-113.9510832,-113.9054941,27,6,0,64.61538461538461,26,17750.0,8,1078
29,50.9167426,50.9537029,-113.9054941,-113.859905,0,0,0,61.42857142857143,7,0.0,0,119
30,50.9537029,50.9906632,-114.315796,-114.2702069,0,0,0,0.0,0,0.0,0,0
31,50.9537029,50.9906632,-114.2702069,-114.2246178,0,0,0,0.0,0,0.0,0,0
32,50.9537029,50.9906632,-114.2246178,-114.1790287,0,0,0,0.0,0,0.0,0,0
